ID_HEXAGONO;MODO;HORA;OPERACIONES
13643349;BUS;12;5
13643349;BUS;13;6
13643349;BUS;14;3
13643349;BUS;15;4
13643349;BUS;16;8
13643349;BUS;17;5
13643349;BUS;18;6
13643349;BUS;19;4
13643349;BUS;20;4
13643349;BUS;21;6
13643349;BUS;22;4
13643349;BUS;23;1
13643350;BUS;4;4
13643350;BUS;5;2
13643350;BUS;6;2
13643350;BUS;7;5
13643350;BUS;8;6
13643350;BUS;9;2
13643350;BUS;10;2
13643350;BUS;11;2
13643350;BUS;12;3
13643350;BUS;13;3
13643350;BUS;14;5
13643350;BUS;15;5
13643350;BUS;16;5
13643350;BUS;17;3
13643350;BUS;18;4
13643350;BUS;19;2
13643350;BUS;20;18
13643350;BUS;21;6
13643350;BUS;22;8
13643351;BUS;1;3
13643351;BUS;2;1
13643351;BUS;4;3
13643351;BUS;5;3
13643351;BUS;6;2
13643351;BUS;7;3
13643351;BUS;8;5
13643351;BUS;9;2
13643351;BUS;10;4
13643351;BUS;11;5
13643351;BUS;12;2
13643351;BUS;13;2
13643351;BUS;14;3
13643351;BUS;15;2
13643351;BUS;16;6
13643351;BUS;17;3
13643351;BUS;18;3
13643351;BUS;19;4
13643351;BUS;20;5
13643351;BUS;21;8
13643351;BUS;22;2
13643351;BUS;23;2
13649440;BUS;5;3
13649440;BUS;6;6
13649440;BUS;7;1
13649440;BUS;8;1
13649440;BUS;9;3
13649440;BUS;10;1
13649440;BUS;11;1
13649440;BUS;12;3
13649440;BUS;13;1
13649440;BUS;14;5
13649440;BUS;15;1
13649440;BUS;16;4
13649440;BUS;17;2
13649440;BUS;18;1
13649440;BUS;21;1
13649440;BUS;22;3
13649441;BUS;5;2
13649441;BUS;6;7
13649441;BUS;7;2
13649441;BUS;9;1
13649441;BUS;11;4
13649441;BUS;12;2
13649441;BUS;13;2
13649441;BUS;14;1
13649441;BUS;15;2
13649441;BUS;16;2
13649441;BUS;17;3
13649441;BUS;18;2
13649441;BUS;19;3
13649441;BUS;20;1
13649441;BUS;21;1
13649441;BUS;22;1
13649474;BUS;6;2
13649474;BUS;7;3
13649474;BUS;10;1
13649474;BUS;13;1
13649475;BUS;6;1
13649477;BUS;4;2
13649477;BUS;5;6
13649477;BUS;6;6
13649477;BUS;7;1
13649477;BUS;8;4
13649477;BUS;9;4
13649477;BUS;10;3
13649477;BUS;11;3
13649477;BUS;12;6
13649477;BUS;13;2
13649477;BUS;14;4
13649477;BUS;15;6
13649477;BUS;16;6
13649477;BUS;17;4
13649477;BUS;18;1
13649477;BUS;19;2
13649477;BUS;20;3
13649477;BUS;21;1
13649477;BUS;22;1
13649477;BUS;23;2
13649512;BUS;1;1
13649512;BUS;4;3
13649512;BUS;6;5
13649512;BUS;7;6
13649512;BUS;8;4
13649512;BUS;9;7
13649512;BUS;11;9
13649512;BUS;12;8
13649512;BUS;13;5
13649512;BUS;14;10
13649512;BUS;15;5
13649512;BUS;16;1
13649512;BUS;17;10
13649512;BUS;18;2
13649512;BUS;19;4
13649512;BUS;21;15
13649512;BUS;22;3
13649513;BUS;6;6
13649513;BUS;18;5
13649515;BUS;0;2
13649515;BUS;1;1
13649515;BUS;4;4
13649515;BUS;5;3
13649515;BUS;6;7
13649515;BUS;7;11
13649515;BUS;8;3
13649515;BUS;9;5
13649515;BUS;10;9
13649515;BUS;11;2
13649515;BUS;12;6
13649515;BUS;13;8
13649515;BUS;14;9
13649515;BUS;15;9
13649515;BUS;16;4
13649515;BUS;17;2
13649515;BUS;18;8
13649515;BUS;19;2
13649515;BUS;20;2
13649515;BUS;21;3
13649515;BUS;22;2
13649515;BUS;23;2
13649516;BUS;5;5
13649516;BUS;6;1
13649516;BUS;7;8
13649516;BUS;8;1
13649516;BUS;9;2
13649516;BUS;10;1
13649516;BUS;11;1
13649516;BUS;13;5
13649516;BUS;14;5
13649516;BUS;15;5
13649516;BUS;16;3
13649516;BUS;17;4
13649516;BUS;18;3
13649516;BUS;19;2
13649516;BUS;20;4
13649516;BUS;21;2
13655605;BUS;6;1
13655605;BUS;7;2
13655605;BUS;8;1
13655605;BUS;9;3
13655605;BUS;12;2
13655605;BUS;15;2
13655605;BUS;16;7
13655605;BUS;17;2
13655605;BUS;19;1
13655605;BUS;22;1
13655641;BUS;4;2
13655641;BUS;5;6
13655641;BUS;6;4
13655641;BUS;7;2
13655641;BUS;8;3
13655641;BUS;9;2
13655641;BUS;10;4
13655641;BUS;11;2
13655641;BUS;12;2
13655641;BUS;13;4
13655641;BUS;14;3
13655641;BUS;15;3
13655641;BUS;16;3
13655641;BUS;18;7
13655641;BUS;19;3
13655641;BUS;20;1
13655676;BUS;6;6
13655676;BUS;7;6
13655676;BUS;8;4
13655676;BUS;10;1
13655676;BUS;12;4
13655676;BUS;13;4
13655676;BUS;16;3
13655676;BUS;18;3
13655676;BUS;19;1
13655677;BUS;6;5
13655677;BUS;7;6
13655677;BUS;8;4
13655677;BUS;9;3
13655677;BUS;10;6
13655677;BUS;11;1
13655677;BUS;12;5
13655677;BUS;13;1
13655677;BUS;14;1
13655677;BUS;15;3
13655677;BUS;16;3
13655677;BUS;18;7
13655677;BUS;19;1
13655677;BUS;21;1
13655678;BUS;6;4
13655678;BUS;8;2
13655678;BUS;9;1
13655678;BUS;10;1
13655678;BUS;11;2
13655678;BUS;12;6
13655678;BUS;13;5
13655678;BUS;14;4
13655678;BUS;15;3
13655678;BUS;19;3
13655679;BUS;4;1
13655679;BUS;5;1
13655679;BUS;6;6
13655679;BUS;7;12
13655679;BUS;8;6
13655679;BUS;9;5
13655679;BUS;10;2
13655679;BUS;11;5
13655679;BUS;12;6
13655679;BUS;13;4
13655679;BUS;14;4
13655679;BUS;15;4
13655679;BUS;16;7
13655679;BUS;18;3
13655679;BUS;19;2
13655679;BUS;20;1
13655679;BUS;21;4
13655679;BUS;22;1
13661770;BUS;8;1
13661770;BUS;13;1
13661770;BUS;15;3
13661770;BUS;16;3
13661770;BUS;18;1
13661805;BUS;4;1
13661805;BUS;5;2
13661805;BUS;6;3
13661805;BUS;7;1
13661805;BUS;9;2
13661805;BUS;12;1
13661805;BUS;13;9
13661805;BUS;17;1
13661805;BUS;18;3
13661805;BUS;22;1
13661805;BUS;23;1
13661806;BUS;12;1
13661844;BUS;2;1
13661844;BUS;5;2
13661844;BUS;6;3
13661844;BUS;7;4
13661844;BUS;8;5
13661844;BUS;9;2
13661844;BUS;10;4
13661844;BUS;11;7
13661844;BUS;12;1
13661844;BUS;13;5
13661844;BUS;14;5
13661844;BUS;15;4
13661844;BUS;16;8
13661844;BUS;17;2
13661844;BUS;18;2
13661844;BUS;19;2
13661844;BUS;20;1
13661844;BUS;21;1
13661844;BUS;23;1
13667934;BUS;6;1
13667934;BUS;7;2
13667934;BUS;8;1
13667934;BUS;9;2
13667934;BUS;10;2
13667934;BUS;11;1
13667934;BUS;15;1
13667934;BUS;18;2
13667934;BUS;19;1
13667969;BUS;4;2
13667969;BUS;6;1
13667969;BUS;7;2
13667969;BUS;8;1
13667969;BUS;9;3
13667969;BUS;10;2
13667969;BUS;12;2
13667969;BUS;14;1
13667969;BUS;15;1
13667969;BUS;16;3
13667969;BUS;17;2
13667969;BUS;21;1
13668008;BUS;1;2
13668008;BUS;6;4
13668008;BUS;7;1
13668008;BUS;8;1
13668008;BUS;9;4
13668008;BUS;10;3
13668008;BUS;11;1
13668008;BUS;12;3
13668008;BUS;13;2
13668008;BUS;14;3
13668008;BUS;15;2
13668008;BUS;16;2
13668008;BUS;17;2
13668008;BUS;18;1
13668008;BUS;21;1
13674099;BUS;6;1
13674099;BUS;7;2
13674099;BUS;8;2
13674099;BUS;16;3
13674099;BUS;17;4
13674099;BUS;18;3
13674099;BUS;19;1
13674099;BUS;21;2
13674134;BUS;4;2
13674134;BUS;8;1
13674134;BUS;10;1
13674134;BUS;16;3
13674134;BUS;17;2
13674134;BUS;18;2
13674134;BUS;21;2
13674172;BUS;6;4
13674172;BUS;7;4
13674172;BUS;8;1
13674172;BUS;9;1
13674172;BUS;10;1
13674172;BUS;11;2
13674172;BUS;12;2
13674172;BUS;13;4
13674172;BUS;15;1
13674172;BUS;16;1
13674172;BUS;17;2
13674172;BUS;19;1
13674172;BUS;22;2
13680235;BUS;5;1
13680236;BUS;5;1
13680263;BUS;15;2
13680263;BUS;18;2
13680298;BUS;4;1
13680298;BUS;6;1
13680298;BUS;9;2
13680298;BUS;11;1
13680298;BUS;14;1
13680298;BUS;22;1
13680335;BUS;6;1
13680335;BUS;7;3
13680335;BUS;8;2
13680335;BUS;9;1
13680335;BUS;10;1
13680335;BUS;11;2
13680335;BUS;15;2
13680335;BUS;16;1
13680335;BUS;17;6
13680335;BUS;18;1
13686427;BUS;7;1
13686427;BUS;12;2
13686427;BUS;14;3
13686427;BUS;15;1
13686427;BUS;16;2
13686427;BUS;17;1
13686462;BUS;9;1
13686463;BUS;5;1
13686463;BUS;6;1
13686463;BUS;7;2
13686463;BUS;8;1
13686463;BUS;9;1
13686463;BUS;10;1
13686463;BUS;11;1
13686463;BUS;12;2
13686463;BUS;13;1
13686463;BUS;14;1
13686463;BUS;15;1
13686463;BUS;17;1
13686463;BUS;21;1
13686463;BUS;23;1
13686500;BUS;7;5
13686500;BUS;8;4
13686500;BUS;9;1
13686500;BUS;10;3
13686500;BUS;12;1
13686500;BUS;13;1
13686500;BUS;15;4
13686500;BUS;16;2
13692591;BUS;7;1
13692591;BUS;8;2
13692591;BUS;10;1
13692591;BUS;11;1
13692591;BUS;12;1
13692591;BUS;16;14
13692591;BUS;17;1
13692591;BUS;19;1
13692626;BUS;5;1
13692626;BUS;6;1
13692626;BUS;7;1
13692626;BUS;8;1
13692626;BUS;9;1
13692626;BUS;11;1
13692626;BUS;12;1
13692626;BUS;13;1
13692626;BUS;14;1
13692626;BUS;15;4
13692626;BUS;16;3
13692626;BUS;17;1
13692626;BUS;18;1
13692626;BUS;22;1
13692627;BUS;8;2
13692627;BUS;15;1
13692663;BUS;9;6
13692663;BUS;10;3
13692663;BUS;11;1
13692663;BUS;12;3
13692663;BUS;15;1
13692663;BUS;16;2
13692663;BUS;18;1
13698756;BUS;10;2
13698756;BUS;12;1
13698756;BUS;16;6
13698756;BUS;17;2
13698791;BUS;6;1
13698791;BUS;16;2
13698792;BUS;6;1
13698792;BUS;9;1
13698792;BUS;12;1
13698792;BUS;14;1
13698792;BUS;16;1
13698792;BUS;17;3
13698792;BUS;19;1
13698792;BUS;21;1
13698827;BUS;5;1
13698827;BUS;6;1
13698827;BUS;7;9
13698827;BUS;8;2
13698827;BUS;9;3
13698827;BUS;10;1
13698827;BUS;11;1
13698827;BUS;12;1
13698827;BUS;13;5
13698827;BUS;15;1
13704919;BUS;6;2
13704919;BUS;7;3
13704919;BUS;9;1
13704919;BUS;12;1
13704919;BUS;14;1
13704919;BUS;17;2
13704919;BUS;18;1
13704919;BUS;20;1
13704956;BUS;10;2
13704956;BUS;14;2
13704956;BUS;15;1
13704956;BUS;18;2
13704956;BUS;19;1
13704957;BUS;7;2
13704957;BUS;8;1
13704957;BUS;9;1
13704957;BUS;12;1
13704957;BUS;14;1
13704957;BUS;15;1
13704957;BUS;16;1
13704957;BUS;17;2
13704957;BUS;18;1
13704957;BUS;19;1
13704957;BUS;20;1
13704957;BUS;21;1
13704957;BUS;22;1
13704991;BUS;8;6
13704991;BUS;9;3
13704991;BUS;10;1
13704991;BUS;14;5
13704991;BUS;15;4
13704991;BUS;16;1
13704991;BUS;17;3
13704991;BUS;18;2
13711084;BUS;6;3
13711084;BUS;7;3
13711084;BUS;10;1
13711084;BUS;15;1
13711084;BUS;16;9
13711084;BUS;17;5
13711084;BUS;18;1
13711084;BUS;19;1
13711084;BUS;23;1
13711122;BUS;7;1
13711122;BUS;8;2
13711122;BUS;13;1
13711122;BUS;14;1
13711122;BUS;15;1
13711122;BUS;17;1
13711122;BUS;21;1
13711123;BUS;7;4
13711123;BUS;10;1
13711123;BUS;12;1
13711123;BUS;15;1
13711123;BUS;17;1
13711155;BUS;2;1
13711155;BUS;5;1
13711155;BUS;6;5
13711155;BUS;7;13
13711155;BUS;8;6
13711155;BUS;9;9
13711155;BUS;10;2
13711155;BUS;11;6
13711155;BUS;12;5
13711155;BUS;16;1
13711155;BUS;17;2
13711155;BUS;18;2
13711155;BUS;19;4
13717248;BUS;7;3
13717248;BUS;15;2
13717248;BUS;16;21
13717248;BUS;19;1
13717286;BUS;8;1
13717286;BUS;15;2
13717287;BUS;15;1
13717287;BUS;16;1
13717287;BUS;18;2
